timestep,gt_policy_id,pred_policy_id,confidence,entropy
7.900000,0,0,0.999860,0.001383
7.933333,0,1,0.774073,0.534308
7.966667,0,1,0.998190,0.013240
8.000000,0,1,0.999999,0.000009
8.033333,0,1,0.889847,0.346835
8.066667,0,0,0.569950,0.683329
8.100000,0,1,0.741436,0.571549
8.133333,0,1,0.966816,0.145642
8.166667,0,0,0.999943,0.000609
8.200000,0,0,0.501084,0.693145
8.233333,0,1,0.994370,0.034778
8.266667,0,0,0.922275,0.273177
8.300000,0,0,0.899949,0.325194
8.333333,0,0,0.888102,0.350466
8.366667,0,0,0.888102,0.350466
8.400000,0,0,0.888102,0.350466
8.433333,0,0,0.991368,0.049618
8.466667,0,0,0.918820,0.281641
8.500000,0,0,0.658985,0.641706
8.533333,0,0,0.918820,0.281641
8.566667,0,0,0.918820,0.281641
8.600000,0,0,0.946055,0.209971
8.633333,0,0,0.999885,0.001154
8.666667,0,0,0.996017,0.025982
8.700000,0,0,0.999925,0.000788
8.733333,0,0,0.999604,0.003501
8.766667,0,0,0.991405,0.049441
8.800000,0,0,0.997766,0.015867
8.833333,0,0,0.997766,0.015867
8.866667,0,0,0.999872,0.001271
8.900000,0,0,0.999931,0.000732
8.933333,0,0,0.999074,0.007396
8.966667,0,1,0.988563,0.062505
9.000000,0,1,0.988563,0.062505
9.033333,0,1,0.954680,0.184497
9.066667,0,1,0.888345,0.349962
9.100000,0,0,0.999367,0.005298
9.133333,0,0,0.978830,0.102560
9.166667,0,0,0.798627,0.502300
9.200000,0,1,0.792989,0.509970
9.233333,0,0,0.668389,0.635313
9.266667,0,0,0.959355,0.169988
9.300000,0,1,0.632457,0.657635
9.333333,0,0,0.875360,0.376069
9.366667,0,1,0.680705,0.626337
9.400000,0,1,0.680705,0.626337
9.433333,0,1,0.954145,0.186126
9.466667,0,0,0.997945,0.014769
9.500000,0,0,0.998373,0.012074
9.533333,0,1,0.626352,0.660869
9.566667,0,0,0.691325,0.618037
9.600000,0,0,0.992596,0.043700
9.633333,0,0,0.993488,0.039273
9.666667,0,0,0.917015,0.286000
9.700000,0,0,0.979653,0.099386
9.733333,0,0,0.993467,0.039379
9.766667,0,0,0.993467,0.039379
9.800000,0,0,0.999882,0.001182
9.833333,0,0,0.999644,0.003185
9.866667,0,0,0.931466,0.249831
9.900000,0,0,0.924309,0.268117
9.933333,0,0,0.850611,0.421647
9.966667,0,0,0.850611,0.421647
10.000000,0,0,0.999982,0.000211
10.033333,0,1,0.853678,0.416276
10.066667,0,1,0.503866,0.693117
10.100000,0,0,0.802259,0.497255
10.133333,0,1,0.985017,0.077809
10.166667,0,0,0.807996,0.489116
10.200000,0,1,0.554922,0.687102
10.233333,0,1,0.851395,0.420282
10.266667,0,0,0.668389,0.635313
10.300000,0,1,0.830334,0.455357
10.333333,0,1,0.802444,0.496995
10.366667,0,1,0.878204,0.370488
10.400000,0,1,0.680705,0.626337
10.433333,0,1,0.887138,0.352457
10.466667,0,0,0.602047,0.672173
10.500000,0,0,0.921318,0.275539
10.533333,0,1,0.946227,0.209477
10.566667,0,0,0.559742,0.685992
10.600000,0,0,0.691325,0.618037
10.633333,0,1,0.968382,0.140324
10.666667,0,1,0.613606,0.667108
10.700000,0,1,0.613606,0.667108
10.733333,0,1,0.978323,0.104496
10.766667,0,0,0.993467,0.039379
10.800000,0,1,0.991683,0.048117
10.833333,0,0,0.999444,0.004723
10.866667,0,0,0.959090,0.170826
10.900000,0,0,0.959090,0.170826
10.933333,0,0,0.603388,0.671614
10.966667,0,0,0.629799,0.659062
11.000000,0,0,0.968942,0.138400
11.033333,0,0,0.991877,0.047188
11.066667,0,0,0.812637,0.482376
11.100000,0,1,0.734048,0.579191
11.133333,0,0,0.785721,0.519571
11.166667,0,0,0.807996,0.489116
11.200000,0,1,0.783204,0.522823
11.233333,0,1,0.783204,0.522823
11.266667,0,1,0.871692,0.383157
11.300000,0,0,0.521567,0.692217
11.333333,1,0,0.909006,0.304832
